run_id,method,workload_id,profile,memory_request_mi,peak_memory_mi
comparative-39b6973-seed20260720-static_default-boundary_above_0_5_conflicting-r04-medium,static_default,boundary_above_0_5_conflicting,medium,732,15.672
comparative-39b6973-seed20260720-context_aware-boundary_above_0_5_conflicting-r03-large,context_aware,boundary_above_0_5_conflicting,large,1464,21.055
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_small-r04-medium,intent_only,ml_sklearn_fit_small,medium,732,16.059
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_medium-r04-medium,static_default,ml_sklearn_fit_medium,medium,732,15.609
comparative-39b6973-seed20260720-static_default-data_large_aggregation-r04-medium,static_default,data_large_aggregation,medium,732,15.82
comparative-39b6973-seed20260720-intent_only-data_pandas_read_transform-r04-medium,intent_only,data_pandas_read_transform,medium,732,15.543
comparative-39b6973-seed20260720-intent_only-boundary_above_0_5_conflicting-r01-medium,intent_only,boundary_above_0_5_conflicting,medium,732,15.789
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_small-r00-medium,intent_only,ml_sklearn_fit_small,medium,732,15.297
comparative-39b6973-seed20260720-context_aware-data_large_aggregation-r00-large,context_aware,data_large_aggregation,large,1464,15.453
comparative-39b6973-seed20260720-context_aware-data_pandas_read_transform-r01-medium,context_aware,data_pandas_read_transform,medium,732,15.57
comparative-39b6973-seed20260720-static_default-data_dataframe_join_medium-r01-medium,static_default,data_dataframe_join_medium,medium,732,15.426
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_small-r00-medium,context_aware,ml_sklearn_fit_small,medium,732,15.68
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_medium-r04-large,intent_only,ml_sklearn_fit_medium,large,1464,15.281
comparative-39b6973-seed20260720-static_default-light_basic_python-r02-medium,static_default,light_basic_python,medium,732,15.965
comparative-39b6973-seed20260720-context_aware-boundary_below_0_5_ambiguous-r03-small,context_aware,boundary_below_0_5_ambiguous,small,244,15.672
comparative-39b6973-seed20260720-static_default-light_small_csv_read-r04-medium,static_default,light_small_csv_read,medium,732,15.926
comparative-39b6973-seed20260720-context_aware-policy_gpu_disallowed-r00-medium,context_aware,policy_gpu_disallowed,medium,732,16.109
comparative-39b6973-seed20260720-intent_only-light_visual_aggregation-r03-small,intent_only,light_visual_aggregation,small,244,15.625
comparative-39b6973-seed20260720-intent_only-light_visual_aggregation-r02-small,intent_only,light_visual_aggregation,small,244,15.895
comparative-39b6973-seed20260720-static_default-policy_gpu_disallowed-r02-medium,static_default,policy_gpu_disallowed,medium,732,15.094
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_small-r01-medium,intent_only,ml_sklearn_fit_small,medium,732,15.02
comparative-39b6973-seed20260720-static_default-boundary_above_0_5_conflicting-r01-medium,static_default,boundary_above_0_5_conflicting,medium,732,15.844
comparative-39b6973-seed20260720-context_aware-data_dataframe_join_medium-r02-medium,context_aware,data_dataframe_join_medium,medium,732,15.531
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_small-r01-medium,static_default,ml_sklearn_fit_small,medium,732,15.879
comparative-39b6973-seed20260720-context_aware-boundary_above_0_5_conflicting-r01-large,context_aware,boundary_above_0_5_conflicting,large,1464,15.625
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_memory_pressure-r02-medium,intent_only,ml_sklearn_fit_memory_pressure,medium,732,207.977
comparative-39b6973-seed20260720-context_aware-data_pandas_read_transform-r03-medium,context_aware,data_pandas_read_transform,medium,732,15.527
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_memory_pressure-r01-large,context_aware,ml_sklearn_fit_memory_pressure,large,1464,207.613
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_medium-r01-large,context_aware,ml_sklearn_fit_medium,large,1464,15.855
