cpu_request_m,cpu_request_to_peak_ratio,memory_request_mi,memory_request_to_peak_ratio,method,peak_cpu_m,peak_memory_mi,repeat_index,resource_measurement_source,run_id,workload_id
500,,732,34.857143,static_manual,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_pandas_read_transform-r01,data_pandas_read_transform
500,,732,36.6,static_manual,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_pandas_read_transform-r02,data_pandas_read_transform
500,,732,36.6,static_manual,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_pandas_read_transform-r03,data_pandas_read_transform
500,,732,36.6,static_manual,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_pandas_read_transform-r04,data_pandas_read_transform
500,,732,34.857143,intent_only,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_pandas_read_transform-r00,data_pandas_read_transform
500,,732,36.6,intent_only,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_pandas_read_transform-r01,data_pandas_read_transform
500,,732,36.6,intent_only,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_pandas_read_transform-r02,data_pandas_read_transform
500,,732,36.6,intent_only,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_pandas_read_transform-r03,data_pandas_read_transform
500,,732,36.6,intent_only,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_pandas_read_transform-r04,data_pandas_read_transform
500,,732,36.6,context_aware,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_pandas_read_transform-r00,data_pandas_read_transform
500,,732,36.6,context_aware,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_pandas_read_transform-r01,data_pandas_read_transform
500,,732,36.6,context_aware,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_pandas_read_transform-r02,data_pandas_read_transform
